batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,50,0.0001,adam,50,0.8719,0.7993,0.7775,0.5538
64,100,0.0001,rmsprop,100,0.8635,0.7988,0.773,0.5535
32,150,0.001,sgd,150,0.8719,0.7949,0.7707,0.4968
64,150,0.0001,rmsprop,122,0.8579,0.7934,0.7687,0.5499
128,150,0.0001,rmsprop,150,0.8552,0.7833,0.7614,0.557
64,100,0.0001,adam,100,0.8579,0.7769,0.7591,0.5453
64,150,0.0001,adam,112,0.8579,0.7769,0.7591,0.5453
128,100,0.0001,adam,100,0.8524,0.7767,0.7562,0.5709
32,100,0.0001,rmsprop,87,0.8552,0.7741,0.7524,0.5551
32,150,0.0001,rmsprop,87,0.8552,0.7741,0.7524,0.5551
32,100,0.0001,adam,90,0.8552,0.7736,0.7557,0.5386
32,150,0.0001,adam,90,0.8552,0.7736,0.7557,0.5386
128,50,0.0005,adam,48,0.8496,0.767,0.7475,0.5566
128,100,0.0005,adam,48,0.8496,0.767,0.7475,0.5566
128,150,0.0005,adam,48,0.8496,0.767,0.7475,0.5566
128,100,0.0001,rmsprop,100,0.8552,0.7635,0.7428,0.5793
128,150,0.0001,adam,148,0.8412,0.7575,0.741,0.5506
32,50,0.0001,rmsprop,50,0.8552,0.756,0.7376,0.5821
64,50,0.0005,adam,42,0.8468,0.7547,0.7366,0.5538
64,100,0.0005,adam,42,0.8468,0.7547,0.7366,0.5538
64,150,0.0005,adam,42,0.8468,0.7547,0.7366,0.5538
64,50,0.0001,adam,50,0.8496,0.7525,0.7344,0.5825
32,50,0.0005,adam,34,0.8412,0.7515,0.7365,0.5563
32,100,0.0005,adam,34,0.8412,0.7515,0.7365,0.5563
32,150,0.0005,adam,34,0.8412,0.7515,0.7365,0.5563
32,100,0.001,sgd,100,0.8663,0.7511,0.7345,0.5273
64,150,0.001,sgd,150,0.8635,0.7474,0.7316,0.5552
128,50,0.001,adam,36,0.8357,0.7454,0.7314,0.5817
128,100,0.001,adam,36,0.8357,0.7454,0.7314,0.5817
128,150,0.001,adam,36,0.8357,0.7454,0.7314,0.5817
32,150,0.0005,sgd,150,0.8607,0.7413,0.7281,0.5582
128,50,0.0005,rmsprop,50,0.8496,0.7349,0.7183,0.5667
128,100,0.0005,rmsprop,50,0.8496,0.7349,0.7183,0.5667
128,150,0.0005,rmsprop,50,0.8496,0.7349,0.7183,0.5667
64,50,0.001,adam,29,0.8357,0.7341,0.7168,0.5594
64,100,0.001,adam,29,0.8357,0.7341,0.7168,0.5594
64,150,0.001,adam,29,0.8357,0.7341,0.7168,0.5594
64,50,0.0005,rmsprop,37,0.8245,0.7309,0.7132,0.5813
64,100,0.0005,rmsprop,37,0.8245,0.7309,0.7132,0.5813
64,150,0.0005,rmsprop,37,0.8245,0.7309,0.7132,0.5813
64,50,0.001,rmsprop,37,0.8189,0.7286,0.7154,0.6527
64,100,0.001,rmsprop,37,0.8189,0.7286,0.7154,0.6527
64,150,0.001,rmsprop,37,0.8189,0.7286,0.7154,0.6527
32,50,0.001,adam,23,0.8245,0.7279,0.7148,0.5864
32,100,0.001,adam,23,0.8245,0.7279,0.7148,0.5864
32,150,0.001,adam,23,0.8245,0.7279,0.7148,0.5864
128,50,0.001,rmsprop,44,0.8329,0.7167,0.7029,0.6035
128,100,0.001,rmsprop,44,0.8329,0.7167,0.7029,0.6035
128,150,0.001,rmsprop,44,0.8329,0.7167,0.7029,0.6035
64,50,0.0001,rmsprop,50,0.8552,0.708,0.7054,0.5974
32,50,0.0005,rmsprop,24,0.8357,0.6695,0.6821,0.6099
32,100,0.0005,rmsprop,24,0.8357,0.6695,0.6821,0.6099
32,150,0.0005,rmsprop,24,0.8357,0.6695,0.6821,0.6099
32,50,0.001,rmsprop,29,0.8022,0.6668,0.6687,0.6717
32,100,0.001,rmsprop,29,0.8022,0.6668,0.6687,0.6717
32,150,0.001,rmsprop,29,0.8022,0.6668,0.6687,0.6717
128,50,0.0001,adam,50,0.8245,0.6557,0.6642,0.6304
32,100,0.0005,sgd,100,0.8496,0.6554,0.676,0.6022
32,50,0.001,sgd,50,0.844,0.6518,0.672,0.6044
64,100,0.001,sgd,100,0.844,0.6515,0.6718,0.6014
128,150,0.001,sgd,150,0.8357,0.6395,0.6605,0.6329
128,50,0.0001,rmsprop,50,0.8301,0.6366,0.658,0.6479
64,150,0.0005,sgd,150,0.8329,0.6331,0.6514,0.6347
64,50,0.001,sgd,50,0.8245,0.6228,0.6398,0.6914
128,100,0.001,sgd,100,0.8217,0.6172,0.6335,0.6874
32,50,0.0005,sgd,50,0.8162,0.6097,0.625,0.6941
64,100,0.0005,sgd,100,0.8162,0.6094,0.6252,0.6909
128,150,0.0005,sgd,150,0.8134,0.606,0.6219,0.7301
32,150,0.0001,sgd,150,0.8078,0.5981,0.613,0.769
64,50,0.0005,sgd,50,0.7967,0.5803,0.5934,0.7895
128,50,0.001,sgd,50,0.7911,0.5768,0.5926,0.7897
128,100,0.0005,sgd,100,0.7883,0.5736,0.5892,0.7867
32,100,0.0001,sgd,100,0.7493,0.5151,0.5275,0.8213
64,150,0.0001,sgd,150,0.7019,0.4219,0.4554,0.8536
128,50,0.0005,sgd,50,0.6685,0.3369,0.4083,0.8743
32,50,0.0001,sgd,50,0.6462,0.3098,0.3794,0.9209
64,100,0.0001,sgd,100,0.6462,0.3043,0.3796,0.9158
128,150,0.0001,sgd,150,0.6212,0.2737,0.3459,0.9725
128,100,0.0001,sgd,100,0.507,0.1366,0.2,1.0888
64,50,0.0001,sgd,50,0.507,0.1353,0.2,1.0971
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2677
