feature,importance
SupportMinusAbsences,0.0981148291172281
CommitmentComposite,0.09452423012791439
Absences,0.08372254962975058
AbsencesSquared,0.07849269451868007
AbsenceRateLog,0.07822375355214709
AbsencePressure,0.07306658821529038
StudyTimePerAbsence,0.06588523630476177
AcademicEngagementScore,0.058734935552929725
EngagementPerActivity,0.04755573857137071
StudyActivityBalance,0.0378090530063147
StudySupportProduct,0.03696436051342322
StudyTimeWeekly,0.03534094587157681
StudyTimeSquared,0.03398365027756615
SupportActivityInteraction,0.022174939134582256
ActivityWeightedSupport,0.019303601365343207
ParentalEducation,0.015396855646987794
Age,0.015128642257631494
Ethnicity,0.014226142291403536
TutoringAbsenceInteraction,0.01213494212808322
ParentalSupport,0.011384238058873722
TutoringPerSupport,0.010009131435937572
SupportTutoringInteraction,0.009879190986029573
ActivityCount,0.009843401102271145
Gender,0.007221727362080935
Extracurricular,0.007173472103704559
Sports,0.007018121795323812
Tutoring,0.00624616493907943
Volunteering,0.006061632886815438
Music,0.004379231246898741
