batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,150,0.001,sgd,150,0.8579,0.7717,0.7491,0.5492
32,100,0.0001,rmsprop,97,0.8412,0.7493,0.7273,0.5842
32,150,0.0001,rmsprop,97,0.8412,0.7493,0.7273,0.5842
32,100,0.0001,adam,95,0.844,0.7478,0.7266,0.5721
32,150,0.0001,adam,95,0.844,0.7478,0.7266,0.5721
128,50,0.0005,adam,47,0.8384,0.7418,0.7205,0.5879
128,100,0.0005,adam,47,0.8384,0.7418,0.7205,0.5879
128,150,0.0005,adam,47,0.8384,0.7418,0.7205,0.5879
64,150,0.0001,rmsprop,140,0.8357,0.7394,0.7212,0.5821
64,100,0.0001,rmsprop,100,0.8357,0.7374,0.7189,0.5939
64,50,0.0005,adam,42,0.8329,0.7358,0.7112,0.566
64,100,0.0005,adam,42,0.8329,0.7358,0.7112,0.566
64,150,0.0005,adam,42,0.8329,0.7358,0.7112,0.566
128,150,0.0001,adam,150,0.8357,0.7339,0.7188,0.6049
64,100,0.0001,adam,100,0.8357,0.7321,0.7172,0.5899
32,50,0.0001,adam,50,0.8468,0.7313,0.7115,0.5974
64,150,0.0001,adam,138,0.8329,0.7312,0.7155,0.583
32,50,0.0001,rmsprop,50,0.8412,0.7288,0.7105,0.6218
32,100,0.001,sgd,100,0.8412,0.7288,0.7084,0.5817
64,50,0.0001,adam,50,0.8329,0.7273,0.7084,0.6385
128,150,0.0001,rmsprop,150,0.8329,0.7236,0.7063,0.5994
32,50,0.0005,adam,33,0.8301,0.7236,0.7114,0.5857
32,100,0.0005,adam,33,0.8301,0.7236,0.7114,0.5857
32,150,0.0005,adam,33,0.8301,0.7236,0.7114,0.5857
32,50,0.001,rmsprop,33,0.8301,0.7221,0.7063,0.6341
32,100,0.001,rmsprop,33,0.8301,0.7221,0.7063,0.6341
32,150,0.001,rmsprop,33,0.8301,0.7221,0.7063,0.6341
128,50,0.0005,rmsprop,50,0.8301,0.7182,0.6998,0.5997
128,100,0.0005,rmsprop,54,0.8301,0.7182,0.6998,0.5997
128,150,0.0005,rmsprop,54,0.8301,0.7182,0.6998,0.5997
128,50,0.001,adam,38,0.8245,0.7182,0.7,0.5951
128,100,0.001,adam,38,0.8245,0.7182,0.7,0.5951
128,150,0.001,adam,38,0.8245,0.7182,0.7,0.5951
64,150,0.001,sgd,150,0.8412,0.7172,0.703,0.6141
32,50,0.001,adam,23,0.8329,0.7154,0.703,0.6181
32,100,0.001,adam,23,0.8329,0.7154,0.703,0.6181
32,150,0.001,adam,23,0.8329,0.7154,0.703,0.6181
32,150,0.0005,sgd,150,0.8384,0.7136,0.6995,0.6153
128,100,0.0001,adam,100,0.8245,0.7126,0.6968,0.6311
128,100,0.0001,rmsprop,100,0.8245,0.7119,0.6968,0.6375
128,50,0.001,rmsprop,47,0.8189,0.7049,0.6918,0.6287
128,100,0.001,rmsprop,47,0.8189,0.7049,0.6918,0.6287
128,150,0.001,rmsprop,47,0.8189,0.7049,0.6918,0.6287
32,50,0.0005,rmsprop,33,0.8189,0.7015,0.689,0.6023
32,100,0.0005,rmsprop,33,0.8189,0.7015,0.689,0.6023
32,150,0.0005,rmsprop,33,0.8189,0.7015,0.689,0.6023
64,50,0.001,adam,33,0.8134,0.6943,0.6784,0.6016
64,100,0.001,adam,33,0.8134,0.6943,0.6784,0.6016
64,150,0.001,adam,33,0.8134,0.6943,0.6784,0.6016
64,50,0.0005,rmsprop,44,0.8162,0.6934,0.6829,0.6083
64,100,0.0005,rmsprop,44,0.8162,0.6934,0.6829,0.6083
64,150,0.0005,rmsprop,44,0.8162,0.6934,0.6829,0.6083
64,50,0.001,rmsprop,41,0.8022,0.6801,0.6705,0.6642
64,100,0.001,rmsprop,41,0.8022,0.6801,0.6705,0.6642
64,150,0.001,rmsprop,41,0.8022,0.6801,0.6705,0.6642
64,50,0.0001,rmsprop,50,0.8217,0.659,0.6564,0.658
64,100,0.001,sgd,100,0.8245,0.6279,0.6485,0.66
32,50,0.001,sgd,50,0.8189,0.6191,0.6369,0.6581
32,100,0.0005,sgd,100,0.8134,0.6134,0.6332,0.6604
128,150,0.001,sgd,150,0.7967,0.5905,0.6124,0.6957
128,50,0.0001,rmsprop,50,0.7939,0.5873,0.6108,0.7222
128,50,0.0001,adam,50,0.7911,0.5848,0.6069,0.6987
64,150,0.0005,sgd,150,0.7911,0.5825,0.6043,0.6993
128,100,0.001,sgd,100,0.7855,0.5738,0.5945,0.7616
64,100,0.0005,sgd,100,0.7827,0.5705,0.5913,0.7655
64,50,0.001,sgd,50,0.7772,0.5639,0.5861,0.7673
32,50,0.0005,sgd,50,0.7716,0.5558,0.5754,0.7651
128,150,0.0005,sgd,150,0.7577,0.533,0.5527,0.8033
128,50,0.001,sgd,50,0.727,0.4869,0.508,0.852
32,150,0.0001,sgd,150,0.7214,0.486,0.5023,0.8336
128,100,0.0005,sgd,100,0.7242,0.4842,0.5046,0.8498
64,50,0.0005,sgd,50,0.7242,0.4839,0.5064,0.853
32,100,0.0001,sgd,100,0.7019,0.4483,0.4719,0.8792
64,150,0.0001,sgd,150,0.6574,0.3555,0.4082,0.9202
128,50,0.0005,sgd,50,0.6435,0.3227,0.3833,0.9541
64,100,0.0001,sgd,100,0.5655,0.2399,0.2813,1.0176
32,50,0.0001,sgd,50,0.5543,0.2291,0.2677,1.0225
128,150,0.0001,sgd,150,0.5125,0.1587,0.2114,1.0915
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2013
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3174
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1953
