batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,150,0.001,sgd,150,0.8858,0.8075,0.7806,0.4683
64,100,0.0001,adam,100,0.8802,0.8065,0.792,0.4748
128,50,0.0005,adam,50,0.883,0.8054,0.7861,0.4722
128,100,0.0005,adam,59,0.883,0.8054,0.7861,0.4722
128,150,0.0005,adam,59,0.883,0.8054,0.7861,0.4722
64,50,0.0005,adam,48,0.8802,0.8054,0.7902,0.4659
64,100,0.0005,adam,48,0.8802,0.8054,0.7902,0.4659
64,150,0.0005,adam,48,0.8802,0.8054,0.7902,0.4659
32,50,0.0005,adam,50,0.8802,0.8008,0.7813,0.4745
32,100,0.0005,adam,50,0.8802,0.8008,0.7813,0.4745
32,150,0.0005,adam,50,0.8802,0.8008,0.7813,0.4745
32,100,0.0001,rmsprop,100,0.8802,0.798,0.7827,0.4692
64,150,0.0001,rmsprop,150,0.8774,0.7978,0.7795,0.4679
128,50,0.001,adam,49,0.8747,0.7955,0.7819,0.4749
128,100,0.001,adam,49,0.8747,0.7955,0.7819,0.4749
128,150,0.001,adam,49,0.8747,0.7955,0.7819,0.4749
64,100,0.0001,rmsprop,100,0.8774,0.7934,0.7779,0.4875
32,100,0.001,sgd,100,0.8914,0.7928,0.7738,0.5017
32,50,0.001,adam,33,0.8747,0.7922,0.777,0.4805
32,100,0.001,adam,33,0.8747,0.7922,0.777,0.4805
32,150,0.001,adam,33,0.8747,0.7922,0.777,0.4805
128,150,0.0001,adam,150,0.8747,0.7921,0.7763,0.4904
64,50,0.0005,rmsprop,50,0.8747,0.7909,0.7711,0.4756
64,100,0.0005,rmsprop,65,0.8747,0.7909,0.7711,0.4756
64,150,0.0005,rmsprop,65,0.8747,0.7909,0.7711,0.4756
32,150,0.0001,rmsprop,134,0.8719,0.7895,0.7731,0.4663
32,100,0.0001,adam,100,0.8747,0.789,0.7727,0.456
32,150,0.0001,adam,107,0.8747,0.789,0.7727,0.456
64,150,0.0001,adam,150,0.8747,0.789,0.7727,0.4634
32,50,0.001,rmsprop,46,0.8802,0.7856,0.7606,0.5046
32,100,0.001,rmsprop,46,0.8802,0.7856,0.7606,0.5046
32,150,0.001,rmsprop,46,0.8802,0.7856,0.7606,0.5046
32,50,0.0005,rmsprop,44,0.8747,0.7797,0.7604,0.4792
32,100,0.0005,rmsprop,44,0.8747,0.7797,0.7604,0.4792
32,150,0.0005,rmsprop,44,0.8747,0.7797,0.7604,0.4792
64,50,0.001,adam,39,0.8747,0.7739,0.7563,0.4659
64,100,0.001,adam,39,0.8747,0.7739,0.7563,0.4659
64,150,0.001,adam,39,0.8747,0.7739,0.7563,0.4659
128,100,0.0005,rmsprop,74,0.8774,0.7732,0.754,0.4845
128,150,0.0005,rmsprop,74,0.8774,0.7732,0.754,0.4845
64,50,0.0001,adam,50,0.8774,0.7699,0.7536,0.5309
128,50,0.001,rmsprop,50,0.8719,0.767,0.7491,0.5005
128,100,0.001,rmsprop,54,0.8719,0.767,0.7491,0.5005
128,150,0.001,rmsprop,54,0.8719,0.767,0.7491,0.5005
128,100,0.0001,adam,100,0.8691,0.7639,0.7497,0.5218
128,50,0.0005,rmsprop,50,0.8691,0.763,0.7443,0.5021
64,50,0.001,rmsprop,48,0.8635,0.7604,0.7414,0.501
64,100,0.001,rmsprop,48,0.8635,0.7604,0.7414,0.501
64,150,0.001,rmsprop,48,0.8635,0.7604,0.7414,0.501
32,50,0.0001,adam,50,0.8663,0.7596,0.7445,0.4883
128,150,0.0001,rmsprop,150,0.8663,0.7555,0.7388,0.5038
128,100,0.0001,rmsprop,100,0.8663,0.7553,0.739,0.5427
32,50,0.0001,rmsprop,50,0.8663,0.7552,0.7388,0.5219
64,50,0.0001,rmsprop,50,0.8635,0.7415,0.7265,0.5598
64,150,0.001,sgd,150,0.8719,0.7382,0.7304,0.5385
32,150,0.0005,sgd,150,0.8691,0.6744,0.6944,0.5371
32,100,0.0005,sgd,100,0.8635,0.6678,0.6879,0.5876
64,100,0.001,sgd,100,0.8607,0.6653,0.6861,0.5908
64,150,0.0005,sgd,150,0.8552,0.6581,0.6779,0.6342
32,50,0.001,sgd,50,0.8552,0.6577,0.6781,0.5943
128,150,0.001,sgd,150,0.8468,0.649,0.6705,0.6305
128,50,0.0001,adam,50,0.844,0.6457,0.6668,0.5973
64,100,0.0005,sgd,100,0.8217,0.6215,0.6405,0.7162
32,50,0.0005,sgd,50,0.8189,0.6171,0.635,0.7204
64,50,0.001,sgd,50,0.8189,0.6168,0.6353,0.7175
128,100,0.001,sgd,100,0.8162,0.6155,0.6367,0.7105
128,50,0.0001,rmsprop,50,0.8189,0.6142,0.6346,0.6365
128,150,0.0005,sgd,150,0.7994,0.5908,0.6083,0.7604
32,150,0.0001,sgd,150,0.7632,0.5319,0.5486,0.8047
128,100,0.0005,sgd,100,0.7298,0.4792,0.5047,0.8244
128,50,0.001,sgd,50,0.7159,0.4466,0.4776,0.8275
64,50,0.0005,sgd,50,0.7103,0.4353,0.4693,0.8295
32,100,0.0001,sgd,100,0.6657,0.3286,0.4014,0.8625
128,50,0.0005,sgd,50,0.649,0.2878,0.3798,0.9363
64,150,0.0001,sgd,150,0.649,0.2876,0.382,0.9043
64,100,0.0001,sgd,100,0.5766,0.2367,0.2916,0.9926
32,50,0.0001,sgd,50,0.546,0.2064,0.2543,0.998
128,150,0.0001,sgd,150,0.507,0.1348,0.2,1.0637
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.2078
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3929
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1986
