batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,50,0.0005,adam,50,0.7604,0.6414,0.629,0.7391
32,100,0.0005,adam,66,0.7577,0.6377,0.6256,0.7388
32,150,0.0005,adam,66,0.7577,0.6377,0.6256,0.7388
32,50,0.001,adam,46,0.7549,0.6343,0.6225,0.7404
32,100,0.001,adam,46,0.7549,0.6343,0.6225,0.7404
32,150,0.001,adam,46,0.7549,0.6343,0.6225,0.7404
64,50,0.001,adam,47,0.7493,0.6234,0.6099,0.7452
64,100,0.001,adam,47,0.7493,0.6234,0.6099,0.7452
64,150,0.001,adam,47,0.7493,0.6234,0.6099,0.7452
32,150,0.0001,adam,150,0.7604,0.6226,0.6101,0.7434
32,100,0.0005,rmsprop,66,0.7437,0.6039,0.5952,0.7602
32,150,0.0005,rmsprop,66,0.7437,0.6039,0.5952,0.7602
32,100,0.0001,adam,100,0.7688,0.5998,0.5968,0.7503
64,50,0.0005,adam,50,0.7521,0.5949,0.5872,0.7445
64,100,0.0005,adam,63,0.7521,0.5949,0.5872,0.7445
64,150,0.0005,adam,63,0.7521,0.5949,0.5872,0.7445
64,100,0.0001,adam,100,0.7604,0.5945,0.5901,0.7662
64,50,0.0005,rmsprop,50,0.7521,0.5921,0.5918,0.7561
64,100,0.0005,rmsprop,57,0.7521,0.5921,0.5918,0.7561
64,150,0.0005,rmsprop,57,0.7521,0.5921,0.5918,0.7561
64,150,0.0001,adam,150,0.7577,0.5898,0.588,0.7543
32,100,0.0001,rmsprop,100,0.7577,0.5888,0.5851,0.7614
64,150,0.0001,rmsprop,150,0.7549,0.5886,0.5862,0.76
128,50,0.0005,adam,50,0.7577,0.5885,0.5835,0.7578
32,150,0.001,sgd,150,0.7577,0.5882,0.5837,0.7426
32,150,0.0001,rmsprop,150,0.7549,0.5867,0.5846,0.7554
128,50,0.001,rmsprop,42,0.7465,0.5864,0.5855,0.7674
128,100,0.001,rmsprop,42,0.7465,0.5864,0.5855,0.7674
