batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
128,50,0.001,rmsprop,50,0.8635,0.7776,0.7563,0.5516
128,100,0.001,rmsprop,54,0.8635,0.7776,0.7563,0.5516
128,150,0.001,rmsprop,54,0.8635,0.7776,0.7563,0.5516
32,50,0.0005,adam,39,0.8663,0.7672,0.75,0.5322
32,100,0.0005,adam,39,0.8663,0.7672,0.75,0.5322
32,150,0.0005,adam,39,0.8663,0.7672,0.75,0.5322
32,50,0.001,adam,26,0.8524,0.7633,0.7447,0.5643
32,100,0.001,adam,26,0.8524,0.7633,0.7447,0.5643
32,150,0.001,adam,26,0.8524,0.7633,0.7447,0.5643
64,150,0.0001,rmsprop,150,0.8524,0.7593,0.7416,0.5541
128,50,0.0005,adam,50,0.8496,0.7581,0.7403,0.5559
64,150,0.0001,adam,150,0.8524,0.7572,0.7356,0.5419
64,100,0.0001,adam,100,0.8468,0.7557,0.7328,0.5728
32,150,0.001,sgd,150,0.8524,0.7556,0.7353,0.5283
32,100,0.0001,adam,96,0.8524,0.7514,0.73,0.5489
32,150,0.0001,adam,96,0.8524,0.7514,0.73,0.5489
64,100,0.0001,rmsprop,100,0.8412,0.7491,0.7298,0.5922
128,150,0.0001,adam,150,0.8384,0.7486,0.7289,0.58
32,150,0.0001,rmsprop,141,0.8468,0.7469,0.7328,0.555
128,50,0.001,adam,48,0.8468,0.7441,0.7211,0.5385
128,100,0.001,adam,48,0.8468,0.7441,0.7211,0.5385
128,150,0.001,adam,48,0.8468,0.7441,0.7211,0.5385
128,100,0.0005,rmsprop,70,0.844,0.7417,0.7239,0.5589
128,150,0.0005,rmsprop,70,0.844,0.7417,0.7239,0.5589
128,100,0.0005,adam,66,0.844,0.7411,0.7223,0.5534
128,150,0.0005,adam,66,0.844,0.7411,0.7223,0.5534
64,50,0.0005,adam,50,0.8496,0.7396,0.7272,0.526
64,100,0.0005,adam,50,0.8496,0.7396,0.7272,0.526
64,150,0.0005,adam,50,0.8496,0.7396,0.7272,0.526
32,100,0.0001,rmsprop,100,0.8329,0.7336,0.7166,0.5673
32,100,0.001,sgd,100,0.844,0.733,0.7104,0.5719
32,50,0.0005,rmsprop,47,0.8384,0.728,0.7076,0.5836
32,100,0.0005,rmsprop,47,0.8384,0.728,0.7076,0.5836
32,150,0.0005,rmsprop,47,0.8384,0.728,0.7076,0.5836
128,150,0.0001,rmsprop,150,0.8412,0.7275,0.7114,0.5882
64,50,0.001,adam,42,0.8301,0.7269,0.7114,0.5676
64,100,0.001,adam,42,0.8301,0.7269,0.7114,0.5676
64,150,0.001,adam,42,0.8301,0.7269,0.7114,0.5676
32,50,0.0001,adam,50,0.8384,0.7231,0.7064,0.5991
64,50,0.0005,rmsprop,50,0.844,0.7202,0.7098,0.5672
64,100,0.0005,rmsprop,63,0.844,0.7202,0.7098,0.5672
64,150,0.0005,rmsprop,63,0.844,0.7202,0.7098,0.5672
32,50,0.001,rmsprop,35,0.8329,0.7157,0.7057,0.606
32,100,0.001,rmsprop,35,0.8329,0.7157,0.7057,0.606
32,150,0.001,rmsprop,35,0.8329,0.7157,0.7057,0.606
128,100,0.0001,adam,100,0.8357,0.7074,0.6954,0.6233
128,50,0.0005,rmsprop,50,0.8301,0.7056,0.6972,0.5823
128,100,0.0001,rmsprop,100,0.8273,0.6954,0.6821,0.6366
64,50,0.001,rmsprop,40,0.8217,0.6947,0.6861,0.5852
64,100,0.001,rmsprop,40,0.8217,0.6947,0.6861,0.5852
64,150,0.001,rmsprop,40,0.8217,0.6947,0.6861,0.5852
32,50,0.0001,rmsprop,50,0.8162,0.6837,0.6739,0.6369
64,50,0.0001,adam,50,0.8134,0.6799,0.6686,0.6429
32,150,0.0005,sgd,150,0.8329,0.6768,0.6736,0.6136
64,150,0.001,sgd,150,0.8245,0.6673,0.6642,0.6102
64,50,0.0001,rmsprop,50,0.7994,0.6142,0.6234,0.6678
64,100,0.001,sgd,100,0.8134,0.6124,0.6323,0.6655
32,100,0.0005,sgd,100,0.805,0.6019,0.6221,0.667
32,50,0.001,sgd,50,0.805,0.6003,0.6186,0.6681
128,150,0.001,sgd,150,0.8022,0.5972,0.6171,0.7053
128,50,0.0001,rmsprop,50,0.7967,0.5918,0.6144,0.7241
64,150,0.0005,sgd,150,0.7939,0.5883,0.6074,0.7088
128,50,0.0001,adam,50,0.7911,0.5863,0.6076,0.7049
128,100,0.001,sgd,100,0.7688,0.5548,0.5727,0.7669
64,100,0.0005,sgd,100,0.7632,0.5487,0.566,0.7695
64,50,0.001,sgd,50,0.7632,0.5485,0.5656,0.767
32,50,0.0005,sgd,50,0.7493,0.5302,0.546,0.7716
128,150,0.0005,sgd,150,0.7382,0.5158,0.5366,0.803
32,150,0.0001,sgd,150,0.7159,0.4797,0.4954,0.8329
128,100,0.0005,sgd,100,0.7019,0.4563,0.4756,0.8492
64,50,0.0005,sgd,50,0.7019,0.4524,0.4701,0.851
128,50,0.001,sgd,50,0.6992,0.4517,0.4706,0.8522
32,100,0.0001,sgd,100,0.6825,0.4159,0.4365,0.8796
64,150,0.0001,sgd,150,0.663,0.3538,0.4022,0.9182
128,50,0.0005,sgd,50,0.6435,0.3022,0.3762,0.9478
64,100,0.0001,sgd,100,0.585,0.2465,0.3018,1.0044
32,50,0.0001,sgd,50,0.5766,0.2395,0.2916,1.0089
128,150,0.0001,sgd,150,0.5265,0.1822,0.2283,1.071
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.1808
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3124
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1743
