batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,50,0.001,rmsprop,29,0.7632,0.6544,0.6382,0.8068
32,100,0.001,rmsprop,29,0.7632,0.6544,0.6382,0.8068
32,150,0.001,rmsprop,29,0.7632,0.6544,0.6382,0.8068
64,150,0.001,sgd,150,0.7744,0.6517,0.6343,0.7972
32,100,0.001,sgd,100,0.7716,0.6504,0.6334,0.7841
64,150,0.0001,rmsprop,150,0.7688,0.6489,0.6294,0.79
64,100,0.0001,adam,100,0.7632,0.6481,0.6269,0.8098
32,150,0.0005,sgd,150,0.7688,0.6445,0.6259,0.7976
64,100,0.0001,rmsprop,100,0.7632,0.6434,0.6268,0.8141
64,50,0.001,rmsprop,39,0.7604,0.6422,0.6314,0.7911
64,100,0.001,rmsprop,39,0.7604,0.6422,0.6314,0.7911
64,150,0.001,rmsprop,39,0.7604,0.6422,0.6314,0.7911
32,50,0.0001,adam,50,0.766,0.6419,0.6181,0.822
64,50,0.0005,rmsprop,50,0.766,0.6418,0.6299,0.774
32,100,0.0001,rmsprop,100,0.7632,0.6396,0.6217,0.8046
32,50,0.0005,rmsprop,43,0.7632,0.6392,0.6288,0.7955
32,100,0.0005,rmsprop,43,0.7632,0.6392,0.6288,0.7955
32,150,0.0005,rmsprop,43,0.7632,0.6392,0.6288,0.7955
32,50,0.0005,adam,40,0.766,0.6374,0.6232,0.7739
32,100,0.0005,adam,40,0.766,0.6374,0.6232,0.7739
32,150,0.0005,adam,40,0.766,0.6374,0.6232,0.7739
64,100,0.0005,rmsprop,69,0.7604,0.6359,0.6247,0.7733
64,150,0.0005,rmsprop,69,0.7604,0.6359,0.6247,0.7733
128,100,0.0005,rmsprop,85,0.7577,0.6329,0.6197,0.7773
128,150,0.0005,rmsprop,85,0.7577,0.6329,0.6197,0.7773
32,150,0.0001,adam,142,0.766,0.6324,0.6211,0.7746
64,150,0.0001,adam,150,0.7577,0.6285,0.613,0.7839
128,50,0.0005,rmsprop,50,0.7521,0.6274,0.6116,0.7898
32,100,0.0001,adam,100,0.7577,0.627,0.6111,0.7884
128,50,0.0005,adam,50,0.7577,0.6249,0.6093,0.7805
128,150,0.0001,rmsprop,150,0.7604,0.6248,0.6069,0.8149
32,150,0.0001,rmsprop,142,0.7577,0.6244,0.6137,0.7909
64,50,0.0005,adam,50,0.7604,0.6231,0.6107,0.768
64,100,0.0005,adam,63,0.7604,0.6231,0.6107,0.768
64,150,0.0005,adam,63,0.7604,0.6231,0.6107,0.768
32,150,0.001,sgd,142,0.7577,0.6223,0.6139,0.7657
128,100,0.0005,adam,83,0.7549,0.622,0.6116,0.771
128,150,0.0005,adam,83,0.7549,0.622,0.6116,0.771
32,50,0.001,adam,27,0.7437,0.6209,0.6098,0.7856
32,100,0.001,adam,27,0.7437,0.6209,0.6098,0.7856
32,150,0.001,adam,27,0.7437,0.6209,0.6098,0.7856
128,150,0.0001,adam,150,0.7549,0.6203,0.6026,0.8126
64,50,0.001,adam,44,0.7549,0.6189,0.6112,0.7618
64,100,0.001,adam,44,0.7549,0.6189,0.6112,0.7618
64,150,0.001,adam,44,0.7549,0.6189,0.6112,0.7618
128,50,0.001,adam,46,0.7521,0.6187,0.6023,0.7724
128,100,0.001,adam,46,0.7521,0.6187,0.6023,0.7724
128,150,0.001,adam,46,0.7521,0.6187,0.6023,0.7724
128,50,0.001,rmsprop,50,0.7465,0.6172,0.6088,0.7904
128,100,0.001,rmsprop,55,0.7465,0.6172,0.6088,0.7904
128,150,0.001,rmsprop,55,0.7465,0.6172,0.6088,0.7904
32,100,0.0005,sgd,100,0.7549,0.605,0.5886,0.8211
32,50,0.001,sgd,50,0.7549,0.6041,0.5866,0.8211
64,100,0.001,sgd,100,0.7521,0.6009,0.5875,0.8216
32,50,0.0001,rmsprop,50,0.7437,0.5531,0.5531,0.8289
64,150,0.0005,sgd,150,0.7437,0.5505,0.553,0.8294
128,100,0.0001,adam,100,0.7409,0.5483,0.5498,0.8309
128,100,0.0001,rmsprop,100,0.7409,0.5473,0.5479,0.8332
64,50,0.0001,rmsprop,50,0.7354,0.5402,0.5413,0.8415
