batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,100,0.001,sgd,100,0.7716,0.6577,0.6399,0.7511
64,100,0.0001,rmsprop,100,0.7744,0.6514,0.6311,0.7714
32,150,0.001,sgd,126,0.7632,0.647,0.6276,0.7456
32,50,0.0005,rmsprop,35,0.7604,0.6415,0.6258,0.7772
32,100,0.0005,rmsprop,35,0.7604,0.6415,0.6258,0.7772
32,150,0.0005,rmsprop,35,0.7604,0.6415,0.6258,0.7772
128,50,0.0005,adam,50,0.7772,0.6405,0.6258,0.7555
64,150,0.001,sgd,150,0.7744,0.6405,0.6245,0.7622
32,150,0.0005,sgd,150,0.7716,0.6399,0.6241,0.7622
64,100,0.0001,adam,100,0.7604,0.6324,0.6149,0.7683
128,50,0.001,rmsprop,45,0.7493,0.6303,0.6134,0.7849
128,100,0.001,rmsprop,45,0.7493,0.6303,0.6134,0.7849
128,150,0.001,rmsprop,45,0.7493,0.6303,0.6134,0.7849
128,50,0.001,adam,46,0.7604,0.629,0.6137,0.7556
128,100,0.001,adam,46,0.7604,0.629,0.6137,0.7556
128,150,0.001,adam,46,0.7604,0.629,0.6137,0.7556
128,50,0.0005,rmsprop,50,0.7549,0.629,0.6143,0.7564
128,100,0.0005,rmsprop,55,0.7549,0.629,0.6143,0.7564
128,150,0.0005,rmsprop,55,0.7549,0.629,0.6143,0.7564
128,100,0.0005,adam,66,0.7577,0.6278,0.613,0.7541
128,150,0.0005,adam,66,0.7577,0.6278,0.613,0.7541
64,150,0.0001,adam,150,0.7604,0.6275,0.6141,0.7575
32,50,0.001,rmsprop,35,0.7493,0.627,0.6147,0.7865
32,100,0.001,rmsprop,35,0.7493,0.627,0.6147,0.7865
32,150,0.001,rmsprop,35,0.7493,0.627,0.6147,0.7865
64,50,0.001,adam,32,0.766,0.6259,0.6178,0.7451
64,100,0.001,adam,32,0.766,0.6259,0.6178,0.7451
64,150,0.001,adam,32,0.766,0.6259,0.6178,0.7451
128,150,0.0001,rmsprop,150,0.7577,0.6216,0.6066,0.77
32,100,0.0001,rmsprop,94,0.7549,0.6208,0.6073,0.77
32,150,0.0001,rmsprop,94,0.7549,0.6208,0.6073,0.77
128,150,0.0001,adam,150,0.7632,0.6199,0.6054,0.7676
32,50,0.0005,adam,40,0.7521,0.6171,0.6062,0.753
32,100,0.0005,adam,40,0.7521,0.6171,0.6062,0.753
32,150,0.0005,adam,40,0.7521,0.6171,0.6062,0.753
64,50,0.0005,rmsprop,50,0.7493,0.6139,0.604,0.7722
64,100,0.0005,rmsprop,54,0.7493,0.6139,0.604,0.7722
64,150,0.0005,rmsprop,54,0.7493,0.6139,0.604,0.7722
64,150,0.0001,rmsprop,150,0.7465,0.613,0.6026,0.759
64,50,0.001,rmsprop,35,0.7326,0.602,0.5949,0.7788
64,100,0.001,rmsprop,35,0.7326,0.602,0.5949,0.7788
64,150,0.001,rmsprop,35,0.7326,0.602,0.5949,0.7788
32,100,0.0001,adam,94,0.7465,0.6008,0.5925,0.7639
32,150,0.0001,adam,94,0.7465,0.6008,0.5925,0.7639
64,50,0.0005,adam,50,0.7409,0.5937,0.5839,0.7583
64,100,0.0005,adam,63,0.7409,0.5937,0.5839,0.7583
64,150,0.0005,adam,63,0.7409,0.5937,0.5839,0.7583
32,50,0.001,adam,33,0.7214,0.5909,0.5816,0.7716
32,100,0.001,adam,33,0.7214,0.5909,0.5816,0.7716
32,150,0.001,adam,33,0.7214,0.5909,0.5816,0.7716
32,50,0.0001,adam,50,0.7493,0.5758,0.572,0.7816
64,100,0.001,sgd,100,0.7549,0.5667,0.5695,0.7845
32,100,0.0005,sgd,100,0.7549,0.565,0.5677,0.7845
32,50,0.001,sgd,50,0.7521,0.563,0.5668,0.7883
32,50,0.0001,rmsprop,50,0.7437,0.5495,0.5543,0.7943
128,100,0.0001,rmsprop,100,0.7437,0.549,0.5548,0.7973
64,50,0.0001,adam,50,0.7409,0.5441,0.5473,0.8053
128,150,0.001,sgd,150,0.7493,0.5395,0.5592,0.8006
128,100,0.0001,adam,100,0.7298,0.5322,0.5364,0.7911
64,150,0.0005,sgd,150,0.7409,0.5286,0.5475,0.8002
64,50,0.0001,rmsprop,50,0.727,0.503,0.5237,0.8171
128,100,0.001,sgd,100,0.7159,0.4898,0.5181,0.8317
64,100,0.0005,sgd,100,0.7103,0.4797,0.5092,0.831
64,50,0.001,sgd,50,0.7075,0.475,0.5076,0.8322
32,50,0.0005,sgd,50,0.7103,0.4743,0.5074,0.8322
128,150,0.0005,sgd,150,0.7019,0.4673,0.4979,0.8566
128,50,0.0001,adam,50,0.6936,0.4446,0.4814,0.8608
128,50,0.0001,rmsprop,50,0.6908,0.4361,0.4743,0.8715
32,150,0.0001,sgd,150,0.6657,0.4036,0.4441,0.8872
128,100,0.0005,sgd,100,0.663,0.3949,0.4312,0.9107
64,50,0.0005,sgd,50,0.6602,0.388,0.4257,0.9142
128,50,0.001,sgd,50,0.6546,0.376,0.4182,0.9133
32,100,0.0001,sgd,100,0.649,0.3495,0.3959,0.9581
64,150,0.0001,sgd,150,0.6072,0.2602,0.3289,1.0272
128,50,0.0005,sgd,50,0.585,0.2422,0.2995,1.0833
64,100,0.0001,sgd,100,0.5181,0.1641,0.2159,1.1425
32,50,0.0001,sgd,50,0.5125,0.1546,0.2091,1.1482
128,150,0.0001,sgd,150,0.5097,0.1421,0.2034,1.2166
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3084
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.4375
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.3102
