batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,150,0.0005,sgd,150,0.766,0.6393,0.6223,0.7575
32,50,0.0005,adam,39,0.7604,0.6345,0.6182,0.7482
32,100,0.0005,adam,39,0.7604,0.6345,0.6182,0.7482
32,150,0.0005,adam,39,0.7604,0.6345,0.6182,0.7482
32,50,0.0001,rmsprop,50,0.7549,0.6311,0.6171,0.7855
64,100,0.0001,rmsprop,100,0.7521,0.627,0.6122,0.7665
32,100,0.001,sgd,100,0.7549,0.6268,0.6135,0.7516
32,50,0.001,sgd,50,0.7604,0.6262,0.6138,0.7781
128,50,0.0005,rmsprop,50,0.7521,0.626,0.6126,0.7546
128,100,0.0005,rmsprop,62,0.7521,0.626,0.6126,0.7546
128,150,0.0005,rmsprop,62,0.7521,0.626,0.6126,0.7546
64,150,0.001,sgd,150,0.7521,0.6248,0.6124,0.7614
64,50,0.001,adam,39,0.7577,0.6242,0.6112,0.7491
64,100,0.001,adam,39,0.7577,0.6242,0.6112,0.7491
64,150,0.001,adam,39,0.7577,0.6242,0.6112,0.7491
32,50,0.0001,adam,50,0.7577,0.624,0.6127,0.7761
32,100,0.0001,rmsprop,100,0.7493,0.6214,0.6094,0.757
128,150,0.0001,rmsprop,150,0.7493,0.6201,0.6067,0.7658
64,150,0.0001,adam,150,0.7521,0.6196,0.6083,0.7462
128,50,0.001,adam,46,0.7521,0.6196,0.6085,0.7394
128,100,0.001,adam,46,0.7521,0.6196,0.6085,0.7394
128,150,0.001,adam,46,0.7521,0.6196,0.6085,0.7394
32,150,0.001,sgd,122,0.7493,0.6195,0.6054,0.7478
32,50,0.0005,rmsprop,39,0.7521,0.6188,0.607,0.7614
32,100,0.0005,rmsprop,39,0.7521,0.6188,0.607,0.7614
32,150,0.0005,rmsprop,39,0.7521,0.6188,0.607,0.7614
32,100,0.0001,adam,100,0.7493,0.6187,0.6072,0.7473
32,150,0.0001,adam,136,0.7521,0.618,0.6089,0.7448
32,100,0.0005,sgd,100,0.7604,0.6161,0.6043,0.781
128,150,0.001,sgd,150,0.7577,0.6161,0.6035,0.7983
32,50,0.001,adam,32,0.7493,0.6132,0.6037,0.7642
32,100,0.001,adam,32,0.7493,0.6132,0.6037,0.7642
32,150,0.001,adam,32,0.7493,0.6132,0.6037,0.7642
128,50,0.001,rmsprop,38,0.7521,0.6125,0.6096,0.7641
128,100,0.001,rmsprop,38,0.7521,0.6125,0.6096,0.7641
128,150,0.001,rmsprop,38,0.7521,0.6125,0.6096,0.7641
64,100,0.0001,adam,100,0.7493,0.612,0.6012,0.7619
64,100,0.001,sgd,100,0.7493,0.6115,0.6012,0.7831
