batch_size,dropout,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,0.4,50,0.001,adam,49,0.766,0.6539,0.6334,0.759
32,0.4,100,0.001,adam,49,0.766,0.6539,0.6334,0.759
32,0.4,150,0.001,adam,49,0.766,0.6539,0.6334,0.759
64,0.4,100,0.001,adam,68,0.7632,0.6481,0.6293,0.7458
64,0.4,150,0.001,adam,68,0.7632,0.6481,0.6293,0.7458
128,0.4,50,0.001,adam,50,0.7688,0.6443,0.627,0.7548
128,0.4,100,0.001,adam,60,0.7688,0.6443,0.627,0.7548
128,0.4,150,0.001,adam,60,0.7688,0.6443,0.627,0.7548
64,0.4,50,0.0005,adam,50,0.7632,0.6395,0.6215,0.7685
32,0.3,150,0.001,sgd,150,0.7716,0.637,0.6169,0.7603
32,0.4,50,0.001,rmsprop,49,0.7437,0.637,0.6201,0.8041
32,0.4,100,0.001,rmsprop,49,0.7437,0.637,0.6201,0.8041
32,0.4,150,0.001,rmsprop,49,0.7437,0.637,0.6201,0.8041
128,0.4,100,0.0005,rmsprop,100,0.7632,0.6353,0.6266,0.7562
128,0.4,150,0.0005,rmsprop,100,0.7632,0.6353,0.6266,0.7562
128,0.1,50,0.0005,rmsprop,34,0.7521,0.6341,0.6207,0.7513
128,0.1,100,0.0005,rmsprop,34,0.7521,0.6341,0.6207,0.7513
128,0.1,150,0.0005,rmsprop,34,0.7521,0.6341,0.6207,0.7513
128,0.2,50,0.0005,adam,49,0.7577,0.6339,0.6231,0.7408
128,0.2,100,0.0005,adam,49,0.7577,0.6339,0.6231,0.7408
128,0.2,150,0.0005,adam,49,0.7577,0.6339,0.6231,0.7408
128,0.2,50,0.001,rmsprop,34,0.7521,0.6335,0.6191,0.7452
128,0.2,100,0.001,rmsprop,34,0.7521,0.6335,0.6191,0.7452
128,0.2,150,0.001,rmsprop,34,0.7521,0.6335,0.6191,0.7452
128,0.4,100,0.0005,adam,100,0.7604,0.6319,0.6211,0.7449
32,0.2,150,0.001,sgd,146,0.7577,0.6319,0.618,0.7323
64,0.4,50,0.001,adam,50,0.7465,0.6318,0.6096,0.748
32,0.4,100,0.0005,rmsprop,82,0.7604,0.6316,0.6261,0.774
32,0.4,150,0.0005,rmsprop,82,0.7604,0.6316,0.6261,0.774
32,0.2,150,0.0005,sgd,150,0.766,0.6314,0.6156,0.7562
32,0.2,50,0.0005,rmsprop,37,0.7493,0.6312,0.6164,0.7451
32,0.2,100,0.0005,rmsprop,37,0.7493,0.6312,0.6164,0.7451
32,0.2,150,0.0005,rmsprop,37,0.7493,0.6312,0.6164,0.7451
128,0.4,150,0.0005,adam,131,0.7604,0.6302,0.6156,0.7395
32,0.2,50,0.0001,rmsprop,50,0.7549,0.6297,0.6167,0.7452
32,0.1,50,0.001,sgd,50,0.7604,0.6289,0.6121,0.7442
32,0.1,100,0.001,sgd,66,0.7577,0.6289,0.6183,0.7434
32,0.1,150,0.001,sgd,66,0.7577,0.6289,0.6183,0.7434
32,0.4,50,0.0005,adam,50,0.7744,0.6288,0.6139,0.7406
32,0.4,100,0.0005,adam,63,0.7744,0.6288,0.6139,0.7406
32,0.4,150,0.0005,adam,63,0.7744,0.6288,0.6139,0.7406
128,0.1,150,0.001,sgd,150,0.766,0.6284,0.6138,0.7602
32,0.3,100,0.0001,adam,100,0.7577,0.6282,0.6172,0.7277
32,0.3,150,0.0001,adam,111,0.7577,0.6282,0.6172,0.7277
32,0.1,50,0.0001,rmsprop,50,0.7549,0.6275,0.6133,0.7434
32,0.1,100,0.0001,rmsprop,54,0.7549,0.6275,0.6133,0.7434
32,0.1,150,0.0001,rmsprop,54,0.7549,0.6275,0.6133,0.7434
64,0.3,50,0.0005,adam,50,0.7632,0.626,0.6164,0.7279
64,0.3,100,0.0005,adam,59,0.7632,0.626,0.6164,0.7279
64,0.3,150,0.0005,adam,59,0.7632,0.626,0.6164,0.7279
32,0.2,100,0.001,sgd,100,0.7549,0.6252,0.6096,0.7392
32,0.3,100,0.0001,rmsprop,100,0.7493,0.6251,0.6111,0.7443
64,0.3,150,0.0001,rmsprop,150,0.7549,0.6244,0.614,0.7409
64,0.3,50,0.001,adam,34,0.766,0.6238,0.6139,0.7237
64,0.3,100,0.001,adam,34,0.766,0.6238,0.6139,0.7237
64,0.3,150,0.001,adam,34,0.766,0.6238,0.6139,0.7237
128,0.4,100,0.001,rmsprop,72,0.766,0.6233,0.6134,0.7618
128,0.4,150,0.001,rmsprop,72,0.766,0.6233,0.6134,0.7618
128,0.3,150,0.0001,adam,150,0.7577,0.6223,0.6128,0.7535
32,0.2,50,0.0001,adam,50,0.7521,0.6223,0.6117,0.7406
64,0.2,50,0.0001,adam,50,0.7577,0.6215,0.6109,0.756
64,0.1,100,0.0001,rmsprop,78,0.7521,0.6208,0.6121,0.7429
64,0.1,150,0.0001,rmsprop,78,0.7521,0.6208,0.6121,0.7429
128,0.3,50,0.0005,rmsprop,50,0.7577,0.6204,0.6096,0.7322
128,0.3,100,0.0005,rmsprop,59,0.7577,0.6204,0.6096,0.7322
128,0.3,150,0.0005,rmsprop,59,0.7577,0.6204,0.6096,0.7322
