batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,100,0.001,sgd,100,0.8022,0.6431,0.6434,0.8451
32,150,0.001,sgd,122,0.8022,0.6393,0.6379,0.8297
128,50,0.001,adam,36,0.7855,0.6309,0.6194,0.8748
128,100,0.001,adam,36,0.7855,0.6309,0.6194,0.8748
128,150,0.001,adam,36,0.7855,0.6309,0.6194,0.8748
32,50,0.0001,adam,50,0.7632,0.5794,0.5878,0.8705
32,100,0.0001,adam,60,0.7632,0.5794,0.5878,0.8705
32,150,0.0001,adam,60,0.7632,0.5794,0.5878,0.8705
64,100,0.0001,adam,72,0.7577,0.5666,0.5732,0.866
64,150,0.0001,adam,72,0.7577,0.5666,0.5732,0.866
128,50,0.001,rmsprop,33,0.7604,0.5626,0.5874,0.9677
128,100,0.001,rmsprop,33,0.7604,0.5626,0.5874,0.9677
128,150,0.001,rmsprop,33,0.7604,0.5626,0.5874,0.9677
32,150,0.0005,sgd,150,0.7716,0.5613,0.5793,0.8595
64,50,0.001,adam,27,0.7382,0.5425,0.5707,0.9381
64,100,0.001,adam,27,0.7382,0.5425,0.5707,0.9381
64,150,0.001,adam,27,0.7382,0.5425,0.5707,0.9381
64,50,0.0005,rmsprop,28,0.7382,0.5271,0.547,0.9422
64,100,0.0005,rmsprop,28,0.7382,0.5271,0.547,0.9422
64,150,0.0005,rmsprop,28,0.7382,0.5271,0.547,0.9422
32,50,0.001,adam,19,0.7493,0.5262,0.5424,0.8863
32,100,0.001,adam,19,0.7493,0.5262,0.5424,0.8863
32,150,0.001,adam,19,0.7493,0.5262,0.5424,0.8863
64,50,0.0005,adam,26,0.7382,0.5249,0.5433,0.858
64,100,0.0005,adam,26,0.7382,0.5249,0.5433,0.858
64,150,0.0005,adam,26,0.7382,0.5249,0.5433,0.858
64,50,0.0001,adam,50,0.7409,0.5239,0.541,0.8722
128,50,0.0005,adam,29,0.7354,0.5235,0.5406,0.8801
128,100,0.0005,adam,29,0.7354,0.5235,0.5406,0.8801
128,150,0.0005,adam,29,0.7354,0.5235,0.5406,0.8801
64,150,0.001,sgd,125,0.7382,0.5167,0.5323,0.8694
64,100,0.001,sgd,100,0.7298,0.5093,0.5249,0.8756
32,100,0.0005,sgd,100,0.727,0.5032,0.5196,0.876
32,50,0.001,sgd,50,0.7242,0.5006,0.5164,0.8774
32,50,0.0005,rmsprop,23,0.7214,0.4998,0.5147,0.9318
32,100,0.0005,rmsprop,23,0.7214,0.4998,0.5147,0.9318
32,150,0.0005,rmsprop,23,0.7214,0.4998,0.5147,0.9318
32,50,0.0005,adam,21,0.7103,0.4996,0.518,0.9044
32,100,0.0005,adam,21,0.7103,0.4996,0.518,0.9044
32,150,0.0005,adam,21,0.7103,0.4996,0.518,0.9044
128,50,0.0005,rmsprop,27,0.6936,0.4936,0.5158,0.939
128,100,0.0005,rmsprop,27,0.6936,0.4936,0.5158,0.939
128,150,0.0005,rmsprop,27,0.6936,0.4936,0.5158,0.939
32,50,0.001,rmsprop,19,0.6992,0.4912,0.5105,0.9632
32,100,0.001,rmsprop,19,0.6992,0.4912,0.5105,0.9632
32,150,0.001,rmsprop,19,0.6992,0.4912,0.5105,0.9632
64,50,0.001,rmsprop,19,0.6964,0.4733,0.4924,0.9739
64,100,0.001,rmsprop,19,0.6964,0.4733,0.4924,0.9739
64,150,0.001,rmsprop,19,0.6964,0.4733,0.4924,0.9739
64,50,0.001,sgd,50,0.6769,0.4515,0.4634,0.9367
32,50,0.0005,sgd,50,0.6713,0.4446,0.4566,0.9344
128,50,0.0001,adam,31,0.649,0.4196,0.4262,0.9346
128,100,0.0001,adam,31,0.649,0.4196,0.4262,0.9346
128,150,0.0001,adam,31,0.649,0.4196,0.4262,0.9346
128,50,0.0001,rmsprop,32,0.6462,0.4176,0.4249,0.9423
128,100,0.0001,rmsprop,32,0.6462,0.4176,0.4249,0.9423
128,150,0.0001,rmsprop,32,0.6462,0.4176,0.4249,0.9423
128,100,0.0005,sgd,100,0.6435,0.4107,0.4181,0.9477
128,150,0.0005,sgd,113,0.6435,0.4107,0.4181,0.9477
32,50,0.0001,rmsprop,22,0.6407,0.4107,0.4188,0.9474
32,100,0.0001,rmsprop,22,0.6407,0.4107,0.4188,0.9474
32,150,0.0001,rmsprop,22,0.6407,0.4107,0.4188,0.9474
64,100,0.0005,sgd,67,0.6407,0.407,0.4148,0.9446
64,150,0.0005,sgd,67,0.6407,0.407,0.4148,0.9446
32,100,0.0001,sgd,100,0.6407,0.4018,0.4082,0.9485
64,50,0.0001,rmsprop,25,0.6351,0.4009,0.4083,0.9455
64,100,0.0001,rmsprop,25,0.6351,0.4009,0.4083,0.9455
64,150,0.0001,rmsprop,25,0.6351,0.4009,0.4083,0.9455
128,50,0.001,sgd,50,0.6351,0.4009,0.4083,0.9478
128,100,0.001,sgd,61,0.6351,0.4009,0.4083,0.9478
128,150,0.001,sgd,61,0.6351,0.4009,0.4083,0.9478
32,150,0.0001,sgd,150,0.6323,0.4009,0.409,0.9441
64,50,0.0005,sgd,50,0.6323,0.3956,0.4028,0.9448
64,150,0.0001,sgd,150,0.6184,0.3438,0.3595,0.9647
128,50,0.0005,sgd,50,0.61,0.3048,0.3428,0.9826
64,100,0.0001,sgd,100,0.5794,0.2555,0.2982,1.0248
32,50,0.0001,sgd,50,0.5766,0.2522,0.2925,1.0287
128,150,0.0001,sgd,150,0.5627,0.2331,0.2717,1.0786
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.1783
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3058
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.171
