batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,50,0.0005,adam,38,0.8412,0.7407,0.7251,0.5749
32,100,0.0005,adam,38,0.8412,0.7407,0.7251,0.5749
32,150,0.0005,adam,38,0.8412,0.7407,0.7251,0.5749
32,100,0.0001,rmsprop,100,0.8384,0.7398,0.719,0.5829
32,150,0.0001,rmsprop,114,0.8384,0.7398,0.719,0.5829
32,100,0.001,sgd,100,0.8468,0.7346,0.7117,0.5827
32,50,0.001,adam,33,0.8217,0.7254,0.7084,0.62
32,100,0.001,adam,33,0.8217,0.7254,0.7084,0.62
32,150,0.001,adam,33,0.8217,0.7254,0.7084,0.62
32,100,0.0001,adam,100,0.8329,0.7248,0.7091,0.5759
32,150,0.0001,adam,114,0.8329,0.7248,0.7091,0.5759
32,150,0.001,sgd,150,0.8384,0.7223,0.7023,0.5473
64,150,0.0001,rmsprop,150,0.8357,0.7221,0.7049,0.5848
64,50,0.001,adam,36,0.8329,0.7192,0.7032,0.5829
64,100,0.001,adam,36,0.8329,0.7192,0.7032,0.5829
64,150,0.001,adam,36,0.8329,0.7192,0.7032,0.5829
128,50,0.001,adam,45,0.8273,0.7141,0.7007,0.5936
128,100,0.001,adam,45,0.8273,0.7141,0.7007,0.5936
128,150,0.001,adam,45,0.8273,0.7141,0.7007,0.5936
64,50,0.0005,adam,46,0.8329,0.7103,0.6973,0.5646
64,100,0.0005,adam,46,0.8329,0.7103,0.6973,0.5646
64,150,0.0005,adam,46,0.8329,0.7103,0.6973,0.5646
32,150,0.0005,sgd,150,0.8329,0.7081,0.6921,0.6241
128,50,0.0005,rmsprop,50,0.8273,0.7075,0.6921,0.597
128,100,0.0005,rmsprop,64,0.8273,0.7075,0.6921,0.597
128,150,0.0005,rmsprop,64,0.8273,0.7075,0.6921,0.597
32,50,0.0005,rmsprop,47,0.8273,0.7057,0.6884,0.6101
32,100,0.0005,rmsprop,47,0.8273,0.7057,0.6884,0.6101
32,150,0.0005,rmsprop,47,0.8273,0.7057,0.6884,0.6101
64,150,0.0001,adam,150,0.8245,0.7049,0.6898,0.5835
128,50,0.0005,adam,50,0.8217,0.7031,0.6868,0.585
128,150,0.0001,rmsprop,150,0.8245,0.7019,0.6841,0.6056
128,150,0.0001,adam,150,0.8273,0.7002,0.6857,0.5952
32,50,0.0001,adam,50,0.8162,0.6965,0.6782,0.6152
128,100,0.0001,adam,100,0.8217,0.6963,0.6811,0.6341
64,100,0.0001,adam,100,0.8134,0.6935,0.6792,0.6031
128,100,0.0005,adam,70,0.8217,0.6934,0.6809,0.5843
128,150,0.0005,adam,70,0.8217,0.6934,0.6809,0.5843
128,50,0.001,rmsprop,45,0.8134,0.6917,0.679,0.6134
128,100,0.001,rmsprop,45,0.8134,0.6917,0.679,0.6134
128,150,0.001,rmsprop,45,0.8134,0.6917,0.679,0.6134
64,100,0.0001,rmsprop,100,0.8078,0.6913,0.6765,0.6133
64,50,0.0005,rmsprop,44,0.8106,0.6901,0.6774,0.6057
64,100,0.0005,rmsprop,44,0.8106,0.6901,0.6774,0.6057
64,150,0.0005,rmsprop,44,0.8106,0.6901,0.6774,0.6057
32,50,0.0001,rmsprop,50,0.8134,0.6874,0.6753,0.6465
64,150,0.001,sgd,150,0.8245,0.6837,0.6735,0.6223
64,50,0.0001,adam,50,0.8106,0.6818,0.6666,0.6552
64,50,0.001,rmsprop,38,0.8162,0.677,0.6725,0.6394
64,100,0.001,rmsprop,38,0.8162,0.677,0.6725,0.6394
64,150,0.001,rmsprop,38,0.8162,0.677,0.6725,0.6394
128,100,0.0001,rmsprop,100,0.8078,0.643,0.6391,0.6492
32,50,0.001,rmsprop,26,0.8106,0.6345,0.6462,0.65
32,100,0.001,rmsprop,26,0.8106,0.6345,0.6462,0.65
32,150,0.001,rmsprop,26,0.8106,0.6345,0.6462,0.65
64,50,0.0001,rmsprop,50,0.8078,0.6278,0.6339,0.6709
32,50,0.001,sgd,50,0.8162,0.6154,0.6336,0.6761
32,100,0.0005,sgd,100,0.8134,0.6119,0.6302,0.6724
128,150,0.001,sgd,150,0.8078,0.6068,0.626,0.7074
64,100,0.001,sgd,100,0.805,0.6037,0.623,0.6742
64,150,0.0005,sgd,150,0.7994,0.5973,0.6167,0.7081
128,50,0.0001,adam,50,0.7939,0.5889,0.6092,0.7031
128,50,0.0001,rmsprop,50,0.7911,0.588,0.6104,0.7223
128,100,0.001,sgd,100,0.7883,0.5823,0.6031,0.7618
64,50,0.001,sgd,50,0.7855,0.5786,0.5999,0.7663
64,100,0.0005,sgd,100,0.7855,0.5782,0.5981,0.7639
32,50,0.0005,sgd,50,0.7855,0.5757,0.5935,0.7662
128,150,0.0005,sgd,150,0.7744,0.565,0.5868,0.7966
128,100,0.0005,sgd,100,0.7549,0.5333,0.5498,0.8433
32,150,0.0001,sgd,150,0.7493,0.527,0.544,0.8275
128,50,0.001,sgd,50,0.7493,0.5261,0.5432,0.8457
64,50,0.0005,sgd,50,0.7437,0.5168,0.5327,0.8475
32,100,0.0001,sgd,100,0.7159,0.475,0.491,0.8756
64,150,0.0001,sgd,150,0.6741,0.3835,0.4255,0.9142
128,50,0.0005,sgd,50,0.6462,0.3267,0.386,0.945
64,100,0.0001,sgd,100,0.5766,0.253,0.2948,1.0061
32,50,0.0001,sgd,50,0.5655,0.2422,0.2813,1.0123
128,150,0.0001,sgd,150,0.5181,0.1772,0.222,1.0764
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.1905
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3209
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1835
