batch_size,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
32,150,0.001,sgd,150,0.8579,0.751,0.7358,0.5347
64,50,0.0005,adam,46,0.8412,0.7323,0.7199,0.5652
64,100,0.0005,adam,46,0.8412,0.7323,0.7199,0.5652
64,150,0.0005,adam,46,0.8412,0.7323,0.7199,0.5652
32,100,0.001,sgd,100,0.8468,0.7235,0.7111,0.5883
64,150,0.0001,adam,150,0.8273,0.7136,0.7054,0.5843
128,100,0.0005,adam,73,0.8273,0.7124,0.7055,0.5854
128,150,0.0005,adam,73,0.8273,0.7124,0.7055,0.5854
32,100,0.0001,adam,100,0.8245,0.7065,0.7002,0.5843
64,50,0.001,rmsprop,40,0.8412,0.7055,0.6966,0.6065
64,100,0.001,rmsprop,40,0.8412,0.7055,0.6966,0.6065
64,150,0.001,rmsprop,40,0.8412,0.7055,0.6966,0.6065
128,50,0.001,rmsprop,50,0.8412,0.7042,0.6962,0.5909
128,100,0.001,rmsprop,50,0.8412,0.7042,0.6962,0.5909
128,150,0.001,rmsprop,50,0.8412,0.7042,0.6962,0.5909
128,100,0.0005,rmsprop,67,0.8329,0.7033,0.6925,0.5876
128,150,0.0005,rmsprop,67,0.8329,0.7033,0.6925,0.5876
32,50,0.0005,adam,39,0.8329,0.7001,0.6918,0.5652
32,100,0.0005,adam,39,0.8329,0.7001,0.6918,0.5652
32,150,0.0005,adam,39,0.8329,0.7001,0.6918,0.5652
128,50,0.001,adam,40,0.8329,0.6958,0.6859,0.5739
128,100,0.001,adam,40,0.8329,0.6958,0.6859,0.5739
128,150,0.001,adam,40,0.8329,0.6958,0.6859,0.5739
128,50,0.0005,adam,50,0.8245,0.6958,0.6897,0.586
64,50,0.001,adam,35,0.8301,0.6937,0.685,0.5829
64,100,0.001,adam,35,0.8301,0.6937,0.685,0.5829
64,150,0.001,adam,35,0.8301,0.6937,0.685,0.5829
32,50,0.001,adam,26,0.8301,0.6921,0.6858,0.5898
32,100,0.001,adam,26,0.8301,0.6921,0.6858,0.5898
32,150,0.001,adam,26,0.8301,0.6921,0.6858,0.5898
32,150,0.0001,rmsprop,141,0.8245,0.6872,0.6804,0.5812
32,150,0.0001,adam,141,0.8217,0.6857,0.6773,0.5791
64,50,0.0005,rmsprop,47,0.8273,0.6819,0.6689,0.5929
64,100,0.0005,rmsprop,47,0.8273,0.6819,0.6689,0.5929
64,150,0.0005,rmsprop,47,0.8273,0.6819,0.6689,0.5929
32,100,0.0001,rmsprop,100,0.8134,0.6772,0.6707,0.6047
64,100,0.0001,adam,100,0.8022,0.6748,0.6667,0.6153
128,50,0.0005,rmsprop,50,0.8245,0.6745,0.6659,0.5924
64,150,0.0001,rmsprop,150,0.8162,0.6713,0.6648,0.5979
32,150,0.0005,sgd,150,0.8273,0.6685,0.6679,0.6284
64,50,0.0001,adam,50,0.805,0.6671,0.6584,0.6751
32,50,0.0005,rmsprop,39,0.8078,0.6652,0.6564,0.589
32,100,0.0005,rmsprop,39,0.8078,0.6652,0.6564,0.589
32,150,0.0005,rmsprop,39,0.8078,0.6652,0.6564,0.589
32,50,0.0001,adam,50,0.8078,0.663,0.6568,0.6361
32,50,0.0001,rmsprop,50,0.7994,0.6589,0.6526,0.6682
128,150,0.0001,rmsprop,150,0.8022,0.6586,0.6511,0.6287
64,150,0.001,sgd,150,0.8162,0.6569,0.6585,0.6312
128,150,0.0001,adam,141,0.7994,0.6439,0.6388,0.6265
64,100,0.0001,rmsprop,100,0.7939,0.6421,0.638,0.6308
32,50,0.001,rmsprop,28,0.805,0.639,0.6365,0.6179
32,100,0.001,rmsprop,28,0.805,0.639,0.6365,0.6179
32,150,0.001,rmsprop,28,0.805,0.639,0.6365,0.6179
128,100,0.0001,adam,100,0.7911,0.6326,0.6307,0.6623
128,100,0.0001,rmsprop,100,0.7967,0.6306,0.6339,0.6665
64,50,0.0001,rmsprop,50,0.7939,0.6291,0.6331,0.6886
32,50,0.001,sgd,50,0.8134,0.6127,0.6352,0.6784
64,100,0.001,sgd,100,0.8106,0.6091,0.6321,0.6772
32,100,0.0005,sgd,100,0.8078,0.6035,0.6259,0.6782
64,150,0.0005,sgd,150,0.805,0.6012,0.624,0.7189
128,150,0.001,sgd,150,0.7994,0.5964,0.6213,0.7153
128,50,0.0001,adam,50,0.7744,0.5651,0.5897,0.7256
128,50,0.0001,rmsprop,50,0.7716,0.5628,0.5904,0.7406
128,100,0.001,sgd,100,0.7716,0.5612,0.5876,0.7716
64,100,0.0005,sgd,100,0.7716,0.5608,0.5836,0.7722
64,50,0.001,sgd,50,0.7688,0.5572,0.58,0.7735
32,50,0.0005,sgd,50,0.7688,0.5534,0.5756,0.7719
128,150,0.0005,sgd,150,0.7521,0.536,0.5603,0.8063
32,150,0.0001,sgd,150,0.7409,0.5147,0.5357,0.8344
128,50,0.001,sgd,50,0.7354,0.5082,0.5358,0.8534
128,100,0.0005,sgd,100,0.7326,0.5038,0.5326,0.8522
64,50,0.0005,sgd,50,0.7298,0.4982,0.5178,0.8525
32,100,0.0001,sgd,100,0.7019,0.4495,0.468,0.8794
64,150,0.0001,sgd,150,0.6435,0.3491,0.3875,0.9166
128,50,0.0005,sgd,50,0.6379,0.3034,0.3693,0.9465
64,100,0.0001,sgd,100,0.61,0.2814,0.3355,1.0007
32,50,0.0001,sgd,50,0.5961,0.2718,0.3186,1.0054
128,150,0.0001,sgd,150,0.5432,0.2058,0.2486,1.0674
64,50,0.0001,sgd,50,0.507,0.1346,0.2,1.1792
128,50,0.0001,sgd,50,0.507,0.1346,0.2,1.3196
128,100,0.0001,sgd,100,0.507,0.1346,0.2,1.1733
